"Site.Name","year","Tested","Present","Marker","Latitude","Longitude","Title","Authors","PubMedID","Start.Year","End.Year","Year.Published","Continent","Country"
"Boende",2021,179,179,"WT","-0.2840626622105563","20.882572994629356","Identification of the PfK13 mutations R561H and P441L in the Democratic Republic of Congo","Gauthier Mesia Kahunu. Sarah Wellmann Thomsen. Louise Wellmann Thomsen. Hypolite Muhindo Mavoko. Patrick Mitashi Mulopo. Emma Filtenborg Hocke. Papy Mandoko Nkoli. Vito Baraka. Daniel T.R. Minja. Andria Mousa. Cally Roper. Destin Mbongi Moke. Dieudonné Mumba Ngoyi. Eric Mukomena Sompwe. Jean Jacques Muyembe Tanfum. Helle Hansson and Michael Alifrangis",38016502,2021,2021,2024,"Africa","DRC"
"Kabondo",2021,176,175,"WT","-8.906147881","25.66816516","Identification of the PfK13 mutations R561H and P441L in the Democratic Republic of Congo","Gauthier Mesia Kahunu. Sarah Wellmann Thomsen. Louise Wellmann Thomsen. Hypolite Muhindo Mavoko. Patrick Mitashi Mulopo. Emma Filtenborg Hocke. Papy Mandoko Nkoli. Vito Baraka. Daniel T.R. Minja. Andria Mousa. Cally Roper. Destin Mbongi Moke. Dieudonné Mumba Ngoyi. Eric Mukomena Sompwe. Jean Jacques Muyembe Tanfum. Helle Hansson and Michael Alifrangis",38016502,2021,2021,2024,"Africa","DRC"
"Kapolowe",2021,180,180,"WT","-10.942714131251758","26.952351369566728","Identification of the PfK13 mutations R561H and P441L in the Democratic Republic of Congo","Gauthier Mesia Kahunu. Sarah Wellmann Thomsen. Louise Wellmann Thomsen. Hypolite Muhindo Mavoko. Patrick Mitashi Mulopo. Emma Filtenborg Hocke. Papy Mandoko Nkoli. Vito Baraka. Daniel T.R. Minja. Andria Mousa. Cally Roper. Destin Mbongi Moke. Dieudonné Mumba Ngoyi. Eric Mukomena Sompwe. Jean Jacques Muyembe Tanfum. Helle Hansson and Michael Alifrangis",38016502,2021,2021,2024,"Africa","DRC"
"Kimpese",2020,200,200,"WT","-5.560683759491116","14.435187755401277","Identification of the PfK13 mutations R561H and P441L in the Democratic Republic of Congo","Gauthier Mesia Kahunu. Sarah Wellmann Thomsen. Louise Wellmann Thomsen. Hypolite Muhindo Mavoko. Patrick Mitashi Mulopo. Emma Filtenborg Hocke. Papy Mandoko Nkoli. Vito Baraka. Daniel T.R. Minja. Andria Mousa. Cally Roper. Destin Mbongi Moke. Dieudonné Mumba Ngoyi. Eric Mukomena Sompwe. Jean Jacques Muyembe Tanfum. Helle Hansson and Michael Alifrangis",38016502,2020,2020,2024,"Africa","DRC"
"Mikalayi",2021,180,180,"WT","-6.02371642420627","22.318120725025427","Identification of the PfK13 mutations R561H and P441L in the Democratic Republic of Congo","Gauthier Mesia Kahunu. Sarah Wellmann Thomsen. Louise Wellmann Thomsen. Hypolite Muhindo Mavoko. Patrick Mitashi Mulopo. Emma Filtenborg Hocke. Papy Mandoko Nkoli. Vito Baraka. Daniel T.R. Minja. Andria Mousa. Cally Roper. Destin Mbongi Moke. Dieudonné Mumba Ngoyi. Eric Mukomena Sompwe. Jean Jacques Muyembe Tanfum. Helle Hansson and Michael Alifrangis",38016502,2021,2021,2024,"Africa","DRC"
"Rutshuru",2020,200,199,"WT","-1.185494692","29.44696415","Identification of the PfK13 mutations R561H and P441L in the Democratic Republic of Congo","Gauthier Mesia Kahunu. Sarah Wellmann Thomsen. Louise Wellmann Thomsen. Hypolite Muhindo Mavoko. Patrick Mitashi Mulopo. Emma Filtenborg Hocke. Papy Mandoko Nkoli. Vito Baraka. Daniel T.R. Minja. Andria Mousa. Cally Roper. Destin Mbongi Moke. Dieudonné Mumba Ngoyi. Eric Mukomena Sompwe. Jean Jacques Muyembe Tanfum. Helle Hansson and Michael Alifrangis",38016502,2020,2020,2024,"Africa","DRC"
"Kabondo",2021,176,1,"R561H","-8.906147881","25.66816516","Identification of the PfK13 mutations R561H and P441L in the Democratic Republic of Congo","Gauthier Mesia Kahunu. Sarah Wellmann Thomsen. Louise Wellmann Thomsen. Hypolite Muhindo Mavoko. Patrick Mitashi Mulopo. Emma Filtenborg Hocke. Papy Mandoko Nkoli. Vito Baraka. Daniel T.R. Minja. Andria Mousa. Cally Roper. Destin Mbongi Moke. Dieudonné Mumba Ngoyi. Eric Mukomena Sompwe. Jean Jacques Muyembe Tanfum. Helle Hansson and Michael Alifrangis",38016502,2021,2021,2024,"Africa","DRC"
"Rutshuru",2020,200,1,"P441L","-1.185494692","29.44696415","Identification of the PfK13 mutations R561H and P441L in the Democratic Republic of Congo","Gauthier Mesia Kahunu. Sarah Wellmann Thomsen. Louise Wellmann Thomsen. Hypolite Muhindo Mavoko. Patrick Mitashi Mulopo. Emma Filtenborg Hocke. Papy Mandoko Nkoli. Vito Baraka. Daniel T.R. Minja. Andria Mousa. Cally Roper. Destin Mbongi Moke. Dieudonné Mumba Ngoyi. Eric Mukomena Sompwe. Jean Jacques Muyembe Tanfum. Helle Hansson and Michael Alifrangis",38016502,2020,2020,2024,"Africa","DRC"
